id,stationName,gegrLat,gegrLon,city,addressStreet
834,"Rybnik, ul. Borki 37 d",50.111181,18.516139,"{'id': 804, 'name': 'Rybnik', 'commune': {'communeName': 'Rybnik', 'districtName': 'Rybnik', 'provinceName': 'ŚLĄSKIE'}}",ul. Borki 37 d
10554,"Żory, Os. Gen. Władysława Sikorskiego 52_(2)",50.029416,18.689527,"{'id': 1123, 'name': 'Żory', 'commune': {'communeName': 'Żory', 'districtName': 'Żory', 'provinceName': 'ŚLĄSKIE'}}",ul. Sikorskiego 52
789,"Bielsko-Biała, ul. Kossak-Szczuckiej 19",49.813464,19.027318,"{'id': 41, 'name': 'Bielsko-Biała', 'commune': {'communeName': 'Bielsko-Biała', 'districtName': 'Bielsko-Biała', 'provinceName': 'ŚLĄSKIE'}}",ul. Kossak-Szczuckiej
10158,"Bielsko-Biała, ul.Partyzantów",49.802075,19.04861,"{'id': 41, 'name': 'Bielsko-Biała', 'commune': {'communeName': 'Bielsko-Biała', 'districtName': 'Bielsko-Biała', 'provinceName': 'ŚLĄSKIE'}}",ul. Partyzantów
798,"Częstochowa, ul. AK/Jana Pawła II",50.817217,19.118997,"{'id': 146, 'name': 'Częstochowa', 'commune': {'communeName': 'Częstochowa', 'districtName': 'Częstochowa', 'provinceName': 'ŚLĄSKIE'}}",ul. Armii Krajowej 2
800,"Częstochowa, ul. Baczyńskiego 2",50.836389,19.130111,"{'id': 146, 'name': 'Częstochowa', 'commune': {'communeName': 'Częstochowa', 'districtName': 'Częstochowa', 'provinceName': 'ŚLĄSKIE'}}",ul. Baczyńskiego 2
842,"Ustroń, ul. Sanatoryjna 7",49.719731,18.826722,"{'id': 993, 'name': 'Ustroń', 'commune': {'communeName': 'Ustroń', 'districtName': 'cieszyński', 'provinceName': 'ŚLĄSKIE'}}",ul. Sanatoryjna 7
845,"Wodzisław Śląski, ul. Gałczyńskiego 1",50.007629,18.455548,"{'id': 1050, 'name': 'Wodzisław Śląski', 'commune': {'communeName': 'Wodzisław Śląski', 'districtName': 'wodzisławski', 'provinceName': 'ŚLĄSKIE'}}",ul. Gałczyńskiego 1
853,"Złoty Potok, Leśniczówka",50.710889,19.458797,"{'id': 1111, 'name': 'Złoty Potok', 'commune': {'communeName': 'Janów', 'districtName': 'częstochowski', 'provinceName': 'ŚLĄSKIE'}}",Leśniczówka Kamienna Góra
856,"Żywiec, ul. Kopernika  83 a",49.671602,19.234446,"{'id': 1131, 'name': 'Żywiec', 'commune': {'communeName': 'Żywiec', 'districtName': 'żywiecki', 'provinceName': 'ŚLĄSKIE'}}",ul. Kopernika 83 a
9000,"Czerwionka-Leszczyny, ul. Kopalniana",50.16385,18.659977,"{'id': 145, 'name': 'Czerwionka-Leszczyny', 'commune': {'communeName': 'Czerwionka-Leszczyny', 'districtName': 'rybnicki', 'provinceName': 'ŚLĄSKIE'}}",ul. Kopalniana
11278,"Lubliniec, ul. ks. Szymały",50.675693,18.682065,"{'id': 490, 'name': 'Lubliniec', 'commune': {'communeName': 'Lubliniec', 'districtName': 'lubliniecki', 'provinceName': 'ŚLĄSKIE'}}",ul. Ks. Płk. Jana Szymały 3
11455,"Zawiercie, ul. K.I.Gałczyńskiego 3",50.493045,19.439012,"{'id': 1086, 'name': 'Zawiercie', 'commune': {'communeName': 'Zawiercie', 'districtName': 'zawierciański', 'provinceName': 'ŚLĄSKIE'}}",ul. K.I.Gałczyńskiego 3
11457,"Goczałkowice Zdrój, ul. Parkowa",49.93785,18.975594,"{'id': 2280, 'name': 'Goczałkowice-Zdrój', 'commune': {'communeName': 'Goczałkowice-Zdrój', 'districtName': 'pszczyński', 'provinceName': 'ŚLĄSKIE'}}",ul. Parkowa
11794,"Racibórz, Wojska Polskiego 8",50.091142,18.216261,"{'id': 768, 'name': 'Racibórz', 'commune': {'communeName': 'Racibórz', 'districtName': 'raciborski', 'provinceName': 'ŚLĄSKIE'}}",ul. Wojska Polskiego 8
11195,"Kielce, ul. Targowa",50.878998,20.633692,"{'id': 360, 'name': 'Kielce', 'commune': {'communeName': 'Kielce', 'districtName': 'Kielce', 'provinceName': 'ŚWIĘTOKRZYSKIE'}}",ul. Targowa 3
769,"Nowiny, ul. Parkowa",50.823108,20.533506,"{'id': 616, 'name': 'Nowiny', 'commune': {'communeName': 'Sitkówka-Nowiny', 'districtName': 'kielecki', 'provinceName': 'ŚWIĘTOKRZYSKIE'}}",ul. Parkowa
778,"Połaniec, ul. Ruszczańska",50.429014,21.277367,"{'id': 723, 'name': 'Połaniec', 'commune': {'communeName': 'Połaniec', 'districtName': 'staszowski', 'provinceName': 'ŚWIĘTOKRZYSKIE'}}",ul. Ruszczańska 23
785,"Starachowice, ul. Złota",51.050611,21.084175,"{'id': 872, 'name': 'Starachowice', 'commune': {'communeName': 'Starachowice', 'districtName': 'starachowicki', 'provinceName': 'ŚWIĘTOKRZYSKIE'}}",ul. Złota
10444,"Ostrowiec Świętokrzyski, MOBILNA",50.946703,21.394492,"{'id': 656, 'name': 'Ostrowiec Świętokrzyski', 'commune': {'communeName': 'Ostrowiec Świętokrzyski', 'districtName': 'ostrowiecki', 'provinceName': 'ŚWIĘTOKRZYSKIE'}}",Osiedle Słoneczne 28
10794,"Małogoszcz, ul. Słoneczna",50.809563,20.266099,"{'id': 531, 'name': 'Małogoszcz', 'commune': {'communeName': 'Małogoszcz', 'districtName': 'jędrzejowski', 'provinceName': 'ŚWIĘTOKRZYSKIE'}}",ul. Słoneczna 18
11754,Gołuchów Ujęcie Wody,50.621482,20.614057,"{'id': 2644, 'name': 'Gołuchów', 'commune': {'communeName': 'Kije', 'districtName': 'pińczowski', 'provinceName': 'ŚWIĘTOKRZYSKIE'}}",Ujęcie Wody
877,WIOŚ Olsztyn ul. Puszkina,53.789233,20.486075,"{'id': 639, 'name': 'Olsztyn', 'commune': {'communeName': 'Olsztyn', 'districtName': 'Olsztyn', 'provinceName': 'WARMIŃSKO-MAZURSKIE'}}",ul. Puszkina 16
861,WIOŚ Elbląg ul. Bażyńskiego,54.167847,19.410942,"{'id': 202, 'name': 'Elbląg', 'commune': {'communeName': 'Elbląg', 'districtName': 'Elbląg', 'provinceName': 'WARMIŃSKO-MAZURSKIE'}}",ul. Bażyńskiego 6
11616,Kutno-1 Maja 7,52.231728,19.353742,"{'id': 445, 'name': 'Kutno', 'commune': {'communeName': 'Kutno', 'districtName': 'kutnowski', 'provinceName': 'ŁÓDZKIE'}}",1 Maja 7
400,"Kraków, Aleja Krasińskiego",50.057678,19.926189,"{'id': 415, 'name': 'Kraków', 'commune': {'communeName': 'Kraków', 'districtName': 'Kraków', 'provinceName': 'MAŁOPOLSKIE'}}",al. Krasińskiego
401,"Kraków, ul. Bujaka",50.010575,19.949189,"{'id': 415, 'name': 'Kraków', 'commune': {'communeName': 'Kraków', 'districtName': 'Kraków', 'provinceName': 'MAŁOPOLSKIE'}}",ul. Bujaka
402,"Kraków, ul. Bulwarowa",50.069308,20.053492,"{'id': 415, 'name': 'Kraków', 'commune': {'communeName': 'Kraków', 'districtName': 'Kraków', 'provinceName': 'MAŁOPOLSKIE'}}",ul. Bulwarowa
10121,"Kraków, ul. Dietla",50.057447,19.946008,"{'id': 415, 'name': 'Kraków', 'commune': {'communeName': 'Kraków', 'districtName': 'Kraków', 'provinceName': 'MAŁOPOLSKIE'}}",ul. Dietla
10123,"Kraków, ul. Złoty Róg",50.081197,19.895358,"{'id': 415, 'name': 'Kraków', 'commune': {'communeName': 'Kraków', 'districtName': 'Kraków', 'provinceName': 'MAŁOPOLSKIE'}}",Złoty Róg
10139,"Kraków, os. Piastów",50.098508,20.018269,"{'id': 415, 'name': 'Kraków', 'commune': {'communeName': 'Kraków', 'districtName': 'Kraków', 'provinceName': 'MAŁOPOLSKIE'}}",os. Piastów
10447,"Kraków, os. Wadów",50.100569,20.122561,"{'id': 415, 'name': 'Kraków', 'commune': {'communeName': 'Kraków', 'districtName': 'Kraków', 'provinceName': 'MAŁOPOLSKIE'}}",Wadów
11303,"Kraków, os. Swoszowice",49.991442,19.936792,"{'id': 415, 'name': 'Kraków', 'commune': {'communeName': 'Kraków', 'districtName': 'Kraków', 'provinceName': 'MAŁOPOLSKIE'}}",Lusińska
